Iso,SignedP,,,,,,
AIPGENE15903,-0.54125061,,,,,,
AIPGENE5190,-0.984604064,,,,,,
AIPGENE27645,-6,,,,,,
AIPGENE1364,-6,,,,,,
AIPGENE11891,-1.499890341,,,,,,
AIPGENE23050,-2.342659002,,,,,,
AIPGENE14447,-2.398224702,,,,,,
AIPGENE22811,-0.600987203,,,,,,
AIPGENE17111,-0.879977646,,,,,,
AIPGENE5577,-2.745039013,,,,,,
AIPGENE2773,-0.615140638,,,,,,
AIPGENE4252,-0.394218143,,,,,,
AIPGENE11297,-0.544140959,,,,,,
AIPGENE6715,-0.535259096,,,,,,
AIPGENE3880,-6,,,,,,
AIPGENE11023,-0.872777464,,,,,,
AIPGENE18309,-0.504305532,,,,,,
AIPGENE24341,-0.304621679,,,,,,
AIPGENE14335,-1.231928028,,,,,,
AIPGENE20230,-1.17406919,,,,,,
AIPGENE27147,-0.377727922,,,,,,
AIPGENE12406,-1.149901702,,,,,,
AIPGENE11890,-6,,,,,,
